year,month,HMtempC_mean,WindSpd_mean,HMtempC_median,WindSpd_median,HMtempC_pstdv,WindSpd_pstdv,HMtempC_min,WindSpd_min,HMtempC_max,WindSpd_max,wndN,wndNNE,wndNE,wndENE,wndE,wndESE,wndSE,wndSSE,wndS,wndSSW,wndSW,wndWSW,wndW,wndNNW,wndUNK,wnd_WNW_NW,RT_All
2009,10,11.580278,10.368512,11.85,8.55,3.178396,7.227851,6.571429,0.0,17.454545,29.428571,0,0,0,0,6,10,44,11,8,2,4,5,60,0,22,98.0,616.0
1993,10,11.534196,11.476525,11.272727,9.1125,3.553273,8.849864,3.857143,0.0,19.555556,42.833333,10,0,0,0,5,0,30,0,45,0,28,0,31,0,17,107.0,1468.0
1981,10,9.188379,12.042466,8.916667,9.555556,3.322335,9.61308,2.666667,0.0,16.5,37.5625,58,0,10,0,13,0,48,0,8,0,31,0,0,0,11,79.0,1657.0
1999,10,11.892561,9.11023,11.132575,6.291666,3.301368,7.892577,5.833333,1.45,17.8,32.55,22,1,4,0,5,9,30,13,22,1,29,16,26,4,30,111.0,2643.0
1997,10,11.339219,10.929351,10.166667,9.888889,5.086017,8.156428,3.363636,2.65,23.363636,37.9,13,0,3,0,12,2,34,11,34,2,28,0,61,9,17,88.0,971.0
2003,10,11.044705,10.637522,10.6,8.5,3.546217,9.120613,5.0,1.8125,17.571429,47.75,13,0,2,0,15,7,16,2,17,7,25,4,49,4,48,95.0,859.0
2021,10,15.025334,6.145247,15.3,5.0625,3.919771,4.825779,7.25,0.0,22.444444,18.75,0,0,4,3,25,11,18,23,19,6,39,8,47,3,33,75.0,369.0
1992,10,11.228706,10.535156,11.222222,8.379545,4.089231,8.677749,3.208333,0.333333,20.777778,41.5,16,0,1,0,10,0,2,0,27,0,21,0,49,0,42,139.0,1676.0
2013,10,13.420185,8.044167,13.2,6.675,5.107492,6.381814,4.222222,1.666667,25.0,35.8,0,0,2,3,27,6,24,3,43,4,13,8,80,1,56,52.0,555.0
2019,10,12.646181,8.490752,12.3,7.0,3.231894,7.072448,6.0,0.0,23.8,28.409091,9,5,21,2,9,6,20,2,31,1,22,6,30,1,53,66.0,159.0
2020,10,12.9432,6.313356,13.25,5.227273,3.463736,3.539174,3.7,1.0,17.636364,16.583333,10,0,20,0,1,4,5,3,47,19,34,2,42,9,11,74.0,471.0
2008,10,11.21286,7.110937,10.416667,5.2,4.814219,5.012881,2.5,0.75,18.5,21.55,32,0,10,2,5,1,19,0,7,6,2,8,63,11,50,111.0,469.0
2005,10,12.491755,10.445711,12.825757,8.5,4.685348,6.63224,4.272727,2.454545,21.0,28.807692,11,3,2,3,10,16,17,7,13,1,2,0,24,17,47,124.0,2410.0
1986,10,13.247525,8.794862,12.777778,8.169445,4.913547,6.244682,7.0,2.5625,23.111111,34.454545,24,0,0,0,6,0,36,0,8,0,3,0,35,0,26,127.0,1737.0
2017,10,15.176667,5.964756,15.0,4.636364,4.254012,4.572279,7.0,1.5,22.5,26.272727,10,1,0,0,9,9,29,9,22,7,14,11,49,8,51,64.0,229.0
