timestep,triangle,sine,cos,square,pulse,risingsaw,fallingsaw
0,-32767,-32767,32767,-32767,-32767,-32767,32767
1,-29788,-32433,32433,-32767,-32767,-31278,31278
2,-26809,-31440,31440,-32767,-32767,-29788,29788
3,-23831,-29806,29806,-32767,-32767,-28299,28299
4,-20852,-27565,27565,-32767,-32767,-26809,26809
5,-17873,-24764,24764,-32767,-32767,-25320,25320
6,-14894,-21458,21458,-32767,-32767,-23831,23831
7,-11915,-17715,17715,-32767,-32767,-22341,22341
8,-8936,-13612,13612,-32767,-32767,-20852,20852
9,-5958,-9232,9232,-32767,-32767,-19362,19362
10,-2979,-4663,4663,-32767,-32767,-17873,17873
11,0,0,0,-32767,-32767,-16384,16384
12,2979,4663,-4663,-32767,-32767,-14894,14894
13,5958,9232,-9232,-32767,-32767,-13405,13405
14,8936,13612,-13612,-32767,-32767,-11915,11915
15,11915,17715,-17715,-32767,-32767,-10426,10426
16,14894,21458,-21458,-32767,-32767,-8936,8936
17,17873,24764,-24764,-32767,-32767,-7447,7447
18,20852,27565,-27565,-32767,-32767,-5958,5958
19,23831,29806,-29806,-32767,-32767,-4468,4468
20,26809,31440,-31440,-32767,-32767,-2979,2979
21,29788,32433,-32433,-32767,-32767,-1489,1489
22,32767,32767,-32767,32767,-32767,0,0
23,29788,32433,-32433,32767,-32767,1489,-1489
24,26809,31440,-31440,32767,-32767,2979,-2979
25,23831,29806,-29806,32767,-32767,4468,-4468
26,20852,27565,-27565,32767,-32767,5958,-5958
27,17873,24764,-24764,32767,-32767,7447,-7447
28,14894,21458,-21458,32767,-32767,8936,-8936
29,11915,17715,-17715,32767,-32767,10426,-10426
30,8936,13612,-13612,32767,-32767,11915,-11915
31,5958,9232,-9232,32767,-32767,13405,-13405
32,2979,4663,-4663,32767,-32767,14894,-14894
33,0,0,0,32767,32767,16383,-16383
34,-2979,-4663,4663,32767,32767,17873,-17873
35,-5958,-9232,9232,32767,32767,19362,-19362
36,-8936,-13612,13612,32767,32767,20852,-20852
37,-11915,-17715,17715,32767,32767,22341,-22341
38,-14894,-21458,21458,32767,32767,23831,-23831
39,-17873,-24764,24764,32767,32767,25320,-25320
40,-20852,-27565,27565,32767,32767,26809,-26809
41,-23831,-29806,29806,32767,32767,28299,-28299
42,-26809,-31440,31440,32767,32767,29788,-29788
43,-29788,-32433,32433,32767,32767,31278,-31278
44,-32767,-32767,32767,32767,32767,32767,-32767
